#1									
double	trina(66,10)								
#time(s)	irradiance(W/m2)	powerAC(W)	UAC(V)	IAC(A)	powerDC(W)	VDC(V)	IDC(A)	T1(K)	T2(K)
#Start	date	42555							
0	0	0	225	0.43	0	199	0.08	288.4	288.8
12149.0000003949	0	0	0	0	0	83	10	286.8	286.5
13613.0000000121	0	0	208	0.22	0	169	0.05	286.8	286.5
13948.9999999758	0	0	225	0.55	5	209	0.09	286.7	286.3
14849.0000003949	0	3	224	0.55	19	213	0.13	286.3	285.9
15749.0000001853	5	13	224	0.56	29	212	0.19	286.3	285.9
16648.9999999758	9	23	225	0.57	40	214	0.21	286.3	285.9
17549.0000003949	9	27	226	0.58	47	216	0.24	286.3	285.8
18449.0000001853	14	33	225	0.58	53	214	0.24	286.3	286.1
19348.9999999758	14	32	226	0.61	52	223	0.26	286.3	286.1
20249.0000003949	14	38	223	0.62	60	233	0.29	286.5	286.5
21149.0000001853	19	46	224	0.63	68	236	0.29	286.5	286.5
22048.9999999758	33	48	224	0.65	71	248	0.32	286.7	286.7
22949.0000003949	249	55	224	0.9	80	258	0.58	287.2	288.8
23849.0000001853	300	120	223	2.85	152	229	3.04	287.9	291.6
24748.9999999758	352	623	224	3.24	697	225	3.56	289.7	293.8
25649.0000003949	404	721	226	3.57	804	222	4	291.5	295.5
26549.0000001853	455	803	225	3.89	893	220	4.4	292.9	297.0
27448.9999999758	502	876	224	4.23	972	219	4.81	294.6	298.7
28349.0000003949	554	951	225	4.48	1055	217	5.19	295.7	300.1
29249.0000001853	596	1016	225	4.76	1128	213	5.61	296.8	301.8
30148.9999999758	652	1082	225	4.99	1201	212	5.91	298.3	303.4
31049.0000003949	685	1135	225	5.24	1258	210	6.27	298.7	304.0
31949.0000001853	741	1193	224	3.36	1323	208	3.94	299.9	305.2
32848.9999999758	460	743	224	6.03	832	208	7.3	300.9	305.6
33749.0000003949	859	1376	224	5.17	1524	204	6.36	301.0	306.2
34649.0000001853	755	1173	225	6.04	1303	204	7.49	303.2	309.4
35548.9999999758	891	1379	225	6.13	1530	202	7.65	303.6	309.6
36449.0000003949	915	1400	225	6.23	1553	201	7.82	303.4	309.0
37349.0000001853	938	1423	226	6.3	1580	200	8.02	304.2	309.8
38248.9999999758	962	1449	225	5.44	1609	201	6.82	306.0	311.6
39149.0000003949	816	1241	225	6.5	1382	197	8.36	306.6	311.6
40049.0000001853	1013	1490	225	6.48	1655	197	8.35	307.4	313.2
40948.9999999758	1018	1486	225	6.74	1651	194	8.87	307.4	313.0
41849.0000003949	1089	1549	225	5.2	1723	195	6.72	308.8	314.6
42749.0000001853	816	1183	225	6.38	1320	198	8.19	311.0	316.2
43648.9999999758	999	1463	225	6.06	1625	195	7.87	310.2	315.0
44549.0000003949	967	1389	225	6.38	1544	196	8.29	311.4	316.0
45449.0000001853	1013	1465	225	5.79	1629	196	7.49	312.0	316.3
46348.9999999758	906	1326	226	6.1	1476	198	7.86	311.8	316.2
47249.0000003949	962	1403	225	4.82	1559	196	6.21	311.6	316.0
48149.0000001853	755	1099	226	5.98	1225	203	7.5	312.4	317.1
49048.9999999758	906	1368	224	6.49	1522	195	8.4	310.6	314.0
49949.0000003949	1032	1483	224	5.19	1647	200	6.51	312.0	316.7
50849.0000001853	798	1176	224	5.01	1309	197	6.41	311.8	316.3
51748.9999999758	755	1137	225	5.42	1268	202	6.78	311.6	315.6
52649.0000003949	821	1237	224	2.63	1374	207	3.13	311.2	315.6
53549.0000001853	361	572	224	1.26	648	219	1.34	309.6	313.0
54448.9999999758	155	248	225	1.96	295	223	2.12	306.6	307.6
55349.0000003949	244	411	226	4.55	475	214	5.38	304.0	304.6
56249.0000001853	633	1037	224	4.6	1152	206	5.59	305.0	307.0
57148.9999999758	657	1043	224	4.01	1159	208	4.82	307.8	311.6
58049.0000003949	568	901	224	1.73	1003	211	1.96	309.8	313.8
58949.0000001853	221	359	225	1.69	413	215	1.87	308.4	311.6
59848.9999999758	216	348	225	2.17	403	187	2.79	305.4	306.2
60749.0000003949	324	461	225	1.74	525	168	2.44	304.8	306.8
61649.0000001853	286	357	225	0.92	412	219	0.89	305.0	307.4
62548.9999999758	211	157	226	0.83	194	229	0.75	306.0	307.4
63449.0000003949	127	137	226	0.75	172	224	0.65	303.6	305.6
64349.0000001853	70	114	226	0.62	147	218	0.48	301.6	302.0
65248.9999999758	42	78	227	0.53	106	210	0.34	300.7	300.3
66149.0000003949	23	48	226	0.49	72	201	0.21	299.7	298.9
67049.0000001853	9	22	224	0.48	43	189	0.15	298.9	298.0
67948.9999999758	5	9	225	0.49	29	179	0.09	298.1	297.0
68849.0000003949	0	0	225	0.1	16	182	0.04	297.4	296.1
69749.0000001853	0	0	225	0	8	83	0.01	296.8	295.3
