#1
double	comax(64,2)
#time(s)	powerAC(W)
#Start	date	2016-07-04
0	0
19800	0
20700	0
21600	18
22500	33
23400	38
24300	43
25200	43
26100	46
27000	49
27900	50
28800	60
29700	286
30600	408
31500	467
32400	520
33300	570
34200	612
35100	641
36000	687
36900	715
37800	743
38700	507
39600	829
40500	770
41400	859
42300	889
43200	908
44100	924
45000	787
45900	955
46800	952
47700	987
48600	756
49500	974
50400	880
51300	939
52200	853
53100	905
54000	855
54900	727
55800	962
56700	803
57600	720
58500	814
59400	480
60300	158
61200	240
62100	593
63000	676
63900	593
64800	309
65700	193
66600	365
67500	316
68400	193
69300	108
70200	99
71100	83
72000	60
72900	45
73800	29
74700	0
86000	0
